aaaaaaand                                    3027 lines
subjecting                                   18087 lines
subjects                                     7120 lines
submarine                                    14585 lines
submission                                   15386 lines
submit                                       7744 lines
submitted                                    8422 lines
submitting                                   5637 lines
subscription                                 16341 lines
subscriptions                                16354 lines
subside                                      12161 lines
substance                                    18186 lines
substandard                                  16332 lines
substitute                                   13657 lines
substitutes                                  16571 lines
subtly                                       15380 lines
suburban                                     475 lines
succeeded                                    21315 lines
success                                      20505 lines
successful                                   16456 lines
succession                                   13265 lines
successive                                   13010 lines
such                                         21898 lines
suck                                         9298 lines
sucked                                       21299 lines
sucker                                       8866 lines
suckers                                      11106 lines
sucking                                      17984 lines
sudden                                       21395 lines
suddenly                                     21358 lines
suffer                                       10442 lines
suffered                                     21912 lines
suffering                                    21971 lines
sufficient                                   10734 lines
sufficiently                                 7060 lines
suffocated                                   81 lines
suffocating                                  1362 lines
suffused                                     2749 lines
sugar                                        17611 lines
sugar-free                                   714 lines
suggest                                      18016 lines
suggested                                    21463 lines
suggesting                                   21429 lines
suggestion                                   19354 lines
suggestions                                  4372 lines
suit                                         21891 lines
suitability                                  18594 lines
suitable                                     14683 lines
suite                                        4455 lines
suited                                       9383 lines
suiting                                      2796 lines
suits                                        11927 lines
sulkily                                      3086 lines
sulking                                      14065 lines
sulky                                        16455 lines
sullenness                                   265 lines
summat                                       9785 lines
summed                                       5838 lines
summer                                       22254 lines
summer's                                     21923 lines
summers                                      9380 lines
summon                                       14579 lines
summoned                                     18942 lines
summoning                                    21499 lines
sums                                         6643 lines
sun                                          17503 lines
sunday                                       16164 lines
sundial                                      2244 lines
sung                                         11933 lines
sunk                                         14127 lines
sunken                                       10007 lines
sunlight                                     21942 lines
sunlit                                       18149 lines
sunny                                        21731 lines
sunrise                                      6910 lines
sunshine                                     10978 lines
suntan                                       556 lines
sup                                          2353 lines
superb                                       13483 lines
supercool                                    6232 lines
superior                                     15336 lines
superior's                                   16613 lines
supervise                                    19863 lines
supervising                                  5162 lines
supplied                                     9387 lines
supply                                       16407 lines
support                                      20349 lines
supported                                    16187 lines
supporter                                    20553 lines
supporters                                   21436 lines
supporting                                   20375 lines
suppose                                      21725 lines
supposed                                     22005 lines
suppress                                     13895 lines
suppressed                                   15479 lines
suppressing                                  16702 lines
supreme                                      12565 lines
sur                                          4066 lines
sure                                         21562 lines
surely                                       20028 lines
surface                                      21041 lines
surge                                        19531 lines
surged                                       4114 lines
surging                                      20097 lines
surlier                                      10529 lines
surly                                        12830 lines
surmised                                     13710 lines
surprise                                     20191 lines
surprised                                    21975 lines
surprises                                    13009 lines
surprising                                   16082 lines
surprisingly                                 9164 lines
surreptitiously                              9351 lines
surrounded                                   20002 lines
surrounding                                  19340 lines
survey                                       473 lines
surveyed                                     21757 lines
surveying                                    19784 lines
survival                                     14799 lines
survive                                      20147 lines
survived                                     10765 lines
surviving                                    630 lines
sus                                          2779 lines
suspect                                      17648 lines
suspected                                    17810 lines
suspects                                     15928 lines
suspended                                    15492 lines
suspicion                                    20503 lines
suspicions                                   18305 lines
suspicious                                   20505 lines
suspiciously                                 16729 lines
sustained                                    9466 lines
swallowed                                    16323 lines
swallowing                                   21409 lines
swam                                         20318 lines
swan                                         17706 lines
swap                                         8742 lines
swapped                                      10193 lines
swapping                                     9682 lines
swarm                                        3300 lines
swarmed                                      14657 lines
swarming                                     15418 lines
swarms                                       12986 lines
swat                                         10741 lines
swayed                                       20966 lines
swaying                                      20292 lines
swear                                        18090 lines
swearword                                    874 lines
sweat                                        341 lines
sweater                                      14854 lines
sweating                                     17953 lines
sweatshirt                                   4658 lines
swedish                                      10615 lines
sweep                                        14526 lines
sweeping                                     21264 lines
sweet                                        14364 lines
sweetest                                     20843 lines
sweets                                       12411 lines
sweetshop                                    9625 lines
swelled                                      21778 lines
swelling                                     5805 lines
swellings                                    5794 lines
swelteringly                                 17483 lines
swept                                        21861 lines
swer                                         4170 lines
swerved                                      10984 lines
swerving                                     10744 lines
swift                                        20995 lines
swiftly                                      19736 lines
swig                                         17325 lines
swigging                                     2647 lines
swim                                         15235 lines
swimmer                                      14039 lines
swimming                                     20292 lines
swimming-pool                                13897 lines
swing                                        11252 lines
swinging                                     1227 lines
swipe                                        19987 lines
swirl                                        18373 lines
swirled                                      18189 lines
swirling                                     19325 lines
swish                                        495 lines
swished                                      17706 lines
swishing                                     19625 lines
switched                                     350 lines
switches                                     11615 lines
switching                                    10193 lines
swivel                                       20672 lines
swiveled                                     17378 lines
swiveling                                    6937 lines
swollen                                      16525 lines
swoop                                        21873 lines
swooped                                      21291 lines
swooping                                     6420 lines
swooshing                                    16324 lines
sword                                        17717 lines
swore                                        19654 lines
sworn                                        17299 lines
swotty                                       687 lines
swum                                         14984 lines
swung                                        21317 lines
sycophantically                              8858 lines
syllable                                     3989 lines
symbol                                       4169 lines
symbols                                      17729 lines
sympathetic                                  16000 lines
sympathetically                              12050 lines
sympathy                                     18477 lines
symptoms                                     2207 lines
system                                       17502 lines
systems                                      3606 lines
t                                            13703 lines
ta                                           7694 lines
table                                        21901 lines
tablec                                       5434 lines
tablecloth                                   16297 lines
tablecloths                                  1680 lines
tables                                       13451 lines
tack                                         12787 lines
tacked                                       5723 lines
tackling                                     6316 lines
tactful                                      6632 lines
tactics                                      10702 lines
tactless                                     14051 lines
tad                                          4474 lines
tail                                         21731 lines
tailcoat                                     7528 lines
tails                                        15063 lines
tains                                        5420 lines
takably                                      7554 lines
take                                         22246 lines
taken                                        21913 lines
takers                                       2510 lines
takes                                        18634 lines
takin                                        11789 lines
taking                                       21985 lines
tale                                         15384 lines
talent                                       13806 lines
tales                                        21409 lines
talk                                         22167 lines
talked                                       21982 lines
talkin                                       21755 lines
talking                                      22058 lines
talks                                        16729 lines
tall                                         20216 lines
taller                                       21409 lines
tallest                                      7067 lines
tallied                                      15381 lines
talon                                        8003 lines
talon-clipping                               10180 lines
talons                                       8816 lines
tame                                         7965 lines
tangle                                       19231 lines
tangled                                      19282 lines
tangles                                      1822 lines
tank                                         1553 lines
tankard                                      9714 lines
tanned                                       1412 lines
tantalizingly                                10744 lines
tantrums                                     700 lines
tap                                          14090 lines
taped                                        702 lines
tapestry                                     14158 lines
tapped                                       16688 lines
tapping                                      18638 lines
taps                                         13932 lines
tarantula                                    6430 lines
target                                       17427 lines
tarnish                                      15962 lines
tarry                                        15053 lines
tart                                         11046 lines
tartan                                       12507 lines
tartly                                       7620 lines
tary                                         2442 lines
task                                         22203 lines
task's                                       18682 lines
tasks                                        20503 lines
tasseled                                     2852 lines
taste                                        20416 lines
tattoo                                       19576 lines
taught                                       19996 lines
taunts                                       11729 lines
taut                                         3780 lines
tawny                                        17386 lines
tax                                          102 lines
taxi                                         4792 lines
taxis                                        4804 lines
te                                           392 lines
tea                                          21756 lines
teach                                        21484 lines
teacher                                      21729 lines
teacher's                                    16081 lines
teachers                                     21805 lines
teaching                                     16047 lines
team                                         10698 lines
teams                                        12409 lines
teapot                                       11386 lines
tear                                         5213 lines
tearfully                                    689 lines
tearing                                      19052 lines
tears                                        21849 lines
tearstained                                  11520 lines
teasing                                      18212 lines
tedly                                        3176 lines
teen                                         7747 lines
teenage                                      73 lines
teenagers                                    3539 lines
teens                                        18071 lines
teeny                                        2779 lines
teeter                                       9877 lines
teetered                                     4383 lines
teetering                                    8859 lines
teeth                                        21345 lines
teiling                                      8749 lines
telephone                                    4785 lines
television                                   10338 lines
tell                                         22241 lines
tellin                                       9825 lines
telling                                      22048 lines
tells                                        19763 lines
temper                                       18614 lines
temperamental                                9332 lines
temple                                       18297 lines
temporarily                                  18992 lines
temporary                                    18516 lines
tempt                                        11757 lines
temptation                                   12583 lines
tempted                                      10102 lines
ten                                          20639 lines
ten-foot                                     13642 lines
ten-month                                    21810 lines
tend                                         96 lines
tended                                       9653 lines
tending                                      19441 lines
tening                                       8529 lines
tennis                                       11330 lines
tense                                        18503 lines
tensely                                      19361 lines
tension                                      10479 lines
tent                                         20814 lines
tentacle                                     8781 lines
tentacles                                    22122 lines
tentatively                                  19147 lines
tenth                                        11824 lines
tents                                        4251 lines
ter                                          21794 lines
ter's                                        4794 lines
tered                                        7542 lines
tering                                       3086 lines
term                                         21588 lines
term-time                                    12205 lines
terms                                        13750 lines
terrible                                     21180 lines
terrified                                    19390 lines
terrify                                      13265 lines
terrifying                                   598 lines
terror                                       19531 lines
terse                                        1104 lines
tery                                         1982 lines
test                                         16542 lines
tested                                       19838 lines
testily                                      17148 lines
testimony                                    21305 lines
testing                                      19271 lines
tests                                        18674 lines
tetchy                                       15395 lines
tethered                                     15713 lines
th                                           7074 lines
tha                                          14665 lines
tha's                                        13836 lines
than                                         22232 lines
thank                                        19766 lines
thanked                                      21687 lines
thankfully                                   14997 lines
thanks                                       22261 lines
that                                         22237 lines
that'd                                       19170 lines
that'll                                      6034 lines
that's                                       22194 lines
that-woman-wrote                             13744 lines
thats                                        14035 lines
the                                          22264 lines
the/re                                       13617 lines
theeeeeeeey're                               3059 lines
their                                        22212 lines
theirs                                       21839 lines
them                                         22263 lines
themselves                                   22077 lines
then                                         22151 lines
theories                                     21711 lines
theory                                       18277 lines
ther                                         7534 lines
there                                        22264 lines
there'll                                     1113 lines
there're                                     13039 lines
there's                                      22234 lines
thereafter                                   15397 lines
thereby                                      13304 lines
therefore                                    21855 lines
these                                        21533 lines
these're                                     16413 lines
they                                         22249 lines
they'd                                       17429 lines
they'll                                      22097 lines
they're                                      22247 lines
they've                                      17417 lines
thick                                        21154 lines
thick-bottomed                               1729 lines
thickening                                   19440 lines
thicker                                      9365 lines
thickly                                      20369 lines
thickness                                    4313 lines
thickset                                     18068 lines
thigh-length                                 2120 lines
thin                                         20640 lines
thing                                        21646 lines
thing's                                      11256 lines
things                                       21713 lines
think                                        22253 lines
thinking                                     21528 lines
thinks                                       21542 lines
thinner                                      18068 lines
thinning                                     15194 lines
third                                        22203 lines
third-year                                   12283 lines
thirteen                                     21437 lines
thirteenth                                   4497 lines
thirtieth                                    7132 lines
thirty                                       21679 lines
thirty-five                                  20286 lines
thirty-four                                  19982 lines
thirty-one                                   18419 lines
thirty-seven                                 5491 lines
thirty-three                                 19546 lines
thirty-two                                   19329 lines
thirty-zero                                  3094 lines
this                                         22096 lines
this'll                                      5810 lines
thistles                                     12508 lines
thither                                      3474 lines
tholes                                       7440 lines
thomas                                       10991 lines
thorough                                     6316 lines
thoroughfare                                 2440 lines
thoroughly                                   17555 lines
those                                        22121 lines
thou                                         22234 lines
though                                       22121 lines
thought                                      22166 lines
thoughtful                                   15838 lines
thoughtfully                                 16046 lines
thoughts                                     18429 lines
thousand                                     21521 lines
thousands                                    3335 lines
thrashed                                     10741 lines
thrashing                                    10670 lines
thread                                       20243 lines
threading                                    8013 lines
threads                                      12450 lines
threat                                       21478 lines
threaten                                     10464 lines
threatened                                   20700 lines
threatening                                  21647 lines
threateningly                                11866 lines
three                                        22108 lines
three-headed                                 9793 lines
three-legged                                 5366 lines
three-quarters                               22210 lines
threshold                                    17207 lines
threw                                        20637 lines
thrill                                       7650 lines
thrilling                                    15384 lines
thrivin                                      7589 lines
throat                                       21654 lines
throatily                                    15324 lines
throats                                      6388 lines
throne                                       18071 lines
throng                                       5270 lines
through                                      22131 lines
throughout                                   20984 lines
throuugh                                     14988 lines
throw                                        20649 lines
throwing                                     22230 lines
thrown                                       20580 lines
throws                                       15746 lines
thrust                                       22218 lines
thrusting                                    2700 lines
thud                                         19472 lines
thuggish                                     4976 lines
thumb                                        6132 lines
thumbs                                       13741 lines
thumbs-up                                    15039 lines
thumbscrews                                  6449 lines
thumping                                     14186 lines
thunder                                      5512 lines
thunderclap                                  5195 lines
thundered                                    3347 lines
thundering                                   1528 lines
thunderous                                   16999 lines
thunderstruck                                20642 lines
thur                                         2044 lines
thursday                                     21730 lines
thus                                         5238 lines
thwarted                                     19865 lines
tic                                          2229 lines
tical                                        5158 lines
tick                                         1029 lines
tickets                                      4961 lines
ticking                                      16053 lines
tickle                                       11054 lines
tickled                                      12689 lines
ticks                                        866 lines
tide                                         3094 lines
tie                                          19297 lines
tied                                         19557 lines
tiently                                      4031 lines
ties                                         21898 lines
tight                                        21664 lines
tighten                                      9883 lines
tightened                                    20293 lines
tighter                                      19991 lines
tightly                                      22253 lines
tightness                                    19413 lines
til                                          4830 lines
tiles                                        6 lines
till                                         21021 lines
tilt                                         2835 lines
tilting                                      17763 lines
time                                         22209 lines
time's                                       15053 lines
time-consuming                               8476 lines
time-out                                     3246 lines
times                                        21912 lines
timetables                                   6004 lines
timid                                        151 lines
timms                                        2504 lines
tin                                          11617 lines
tin-pot                                      1115 lines
ting                                         8072 lines
tinge                                        1959 lines
tingling                                     10651 lines
tinsel                                       12034 lines
tiny                                         16605 lines
tion                                         9346 lines
tional                                       5612 lines
tions                                        5183 lines
tious                                        2725 lines
tip                                          20416 lines
tip-off                                      11747 lines
tipped                                       15903 lines
tips                                         5191 lines
tipsy                                        12434 lines
tiptoe                                       7347 lines
tiptoed                                      10220 lines
tire                                         4269 lines
tired                                        21212 lines
tirelessly                                   7674 lines
tis                                          16211 lines
tissue                                       12407 lines
tissues                                      10484 lines
title                                        7180 lines
titters                                      18032 lines
tively                                       2550 lines
tle                                          2168 lines
to                                           22266 lines
to??oh                                       1643 lines
toad                                         10458 lines
toads                                        6273 lines
toast                                        8780 lines
today                                        18568 lines
today's                                      5756 lines
todays                                       15444 lines
toe                                          17609 lines
toes                                         14977 lines
toffee                                       16603 lines
toffees                                      1944 lines
toga                                         11359 lines
together                                     22186 lines
toilet                                       14086 lines
toilets                                      13944 lines
told                                         22264 lines
tolerate                                     17534 lines
toll                                         5605 lines
tom                                          19636 lines
tomato                                       2774 lines
tombstone                                    20271 lines
tomorrow                                     21515 lines
toms                                         1689 lines
ton                                          8072 lines
ton-tongue                                   12408 lines
tone                                         18576 lines
tongs                                        4734 lines
tongue                                       21448 lines
tongues                                      18639 lines
tonight                                      21841 lines
tonight's                                    21276 lines
tons                                         9879 lines
too                                          22209 lines
too-small                                    10152 lines
too-you                                      15305 lines
took                                         22184 lines
tools                                        9145 lines
tooth                                        15247 lines
toothbrush                                   7671 lines
toothily                                     15437 lines
top                                          21921 lines
top-secret                                   1726 lines
topic                                        7114 lines
topics                                       12 lines
topmost                                      17378 lines
topped                                       13246 lines
toppled                                      6479 lines
tops                                         17759 lines
tor                                          8948 lines
torch-lit                                    5074 lines
torches                                      17749 lines
torchlight                                   17953 lines
tore                                         16874 lines
tormented                                    113 lines
torn                                         21913 lines
torrent                                      20300 lines
torrents                                     9850 lines
torso                                        20188 lines
torture                                      20483 lines
tortured                                     20836 lines
torturing                                    18235 lines
tossed                                       15819 lines
total                                        18055 lines
totalk                                       8872 lines
totally                                      17893 lines
touch                                        22254 lines
touched                                      21717 lines
touching                                     15549 lines
touchy                                       14056 lines
tough                                        16084 lines
tougher                                      13424 lines
tour                                         18751 lines
tournament                                   22191 lines
tournament's                                 21897 lines
tousle-haired                                12343 lines
tow                                          13630 lines
toward                                       21974 lines
towards                                      140 lines
towel                                        13966 lines
towels                                       13897 lines
tower                                        21705 lines
towering                                     20558 lines
town                                         14580 lines
toy                                          7051 lines
toyed                                        4529 lines
toying                                       15460 lines
trace                                        21627 lines
traced                                       7805 lines
traces                                       19821 lines
track                                        17857 lines
tracking                                     20453 lines
tracks                                       19060 lines
tracted                                      8175 lines
tractedly                                    2324 lines
trade                                        30 lines
traditional                                  11682 lines
traditionally                                11675 lines
traffic's                                    1101 lines
tragedy                                      12225 lines
tragic                                       15452 lines
trail                                        2723 lines
train                                        22095 lines
trained                                      21192 lines
training                                     20074 lines
trains                                       1972 lines
traitorous                                   19706 lines
tramp                                        16762 lines
trampled                                     15866 lines
trampling                                    10858 lines
trance                                       10854 lines
transferred                                  4734 lines
transfiguration                              18511 lines
transfigure                                  14585 lines
transfigured                                 20928 lines
transfiguring                                7163 lines
transfixed                                   5578 lines
transform                                    22066 lines
transformed                                  21616 lines
transforming                                 11614 lines
translate                                    8806 lines
transparent                                  17744 lines
transparent-looking                          7273 lines
transpired                                   11113 lines
transplanted                                 7130 lines
transport                                    1976 lines
transportation                               1864 lines
transported                                  21334 lines
transports                                   14649 lines
transylvania                                 1760 lines
transylvanians                               12879 lines
trap                                         10088 lines
trapdoor                                     17581 lines
trapeze                                      6376 lines
trapped                                      14682 lines
trauma                                       9243 lines
travel                                       19919 lines
traveled                                     19339 lines
traveling                                    16758 lines
travers                                      17943 lines
travesty                                     370 lines
tray                                         13729 lines
trays                                        2667 lines
tre                                          681 lines
trea                                         1737 lines
treacherous                                  20475 lines
treachery                                    17045 lines
treacle                                      5476 lines
tread                                        22110 lines
treading                                     13911 lines
treasure                                     16635 lines
treasured                                    6668 lines
treasurer                                    9666 lines
treat                                        20437 lines
treated                                      16765 lines
treating                                     10180 lines
treatment                                    4315 lines
treats                                       20759 lines
tree                                         22056 lines
trees                                        20820 lines
treetops                                     16313 lines
trelawney                                    17582 lines
trelawney's                                  17548 lines
tremble                                      16234 lines
trembled                                     22024 lines
trembling                                    21999 lines
tremendous                                   7322 lines
tremulously                                  3902 lines
trepidation                                  4620 lines
trestle                                      11757 lines
trevor                                       10458 lines
tri                                          20860 lines
trial                                        18448 lines
trials                                       21408 lines
triangle                                     16532 lines
triangular                                   409 lines
tribute                                      11723 lines
trick                                        14388 lines
tricked                                      11340 lines
tricking                                     8926 lines
trickle                                      19481 lines
trickling                                    20802 lines
tricks                                       14716 lines
tricky                                       14716 lines
tried                                        22186 lines
trifle                                       7371 lines
trigger                                      16850 lines
trilled                                      12034 lines
trim                                         16760 lines
trimmed                                      2869 lines
trip                                         13347 lines
triple-decker                                3637 lines
tripped                                      19203 lines
tripping                                     12547 lines
triumph                                      22024 lines
triumphant                                   7818 lines
triumphantly                                 16017 lines
triwizard                                    22216 lines
trod                                         13998 lines
trodden                                      2318 lines
trol                                         4155 lines
troll                                        5588 lines
trolley                                      21988 lines
trolls                                       13034 lines
trooped                                      17700 lines
trophy                                       14094 lines
tropical                                     625 lines
trot                                         15701 lines
trotting                                     17019 lines
trouble                                      22183 lines
troubled                                     6926 lines
troubles                                     6056 lines
trough                                       11096 lines
trousers                                     10140 lines
troy                                         4949 lines
trudged                                      2232 lines
trudging                                     8067 lines
true                                         19916 lines
truer                                        18011 lines
truly                                        21826 lines
trundled                                     5068 lines
trundling                                    21974 lines
trunk                                        22216 lines
trunks                                       22212 lines
trust                                        21908 lines
trusted                                      20514 lines
trustin                                      14654 lines
trusting                                     16246 lines
trusts                                       18434 lines
trustworthy                                  21410 lines
truth                                        21867 lines
truthfully                                   18167 lines
